,Date,Time,Account name,Account link,Tweet text,Mediafile,Tweet quotation,Likes,Retweets,Comments
1,01 Jan 2019,16:19,Barack Obama,@BarackObama,"In 2018 people stepped up and showed up like never before. Keep it up in 2019. We’ve got a lot of work to do, and I’ll be right there with you. Happy New Year, everybody!",No,No,792437.0,108967.0,22611.0
2,29 Dec 2018,16:15,Barack Obama,@BarackObama,"I hope you find inspiration in the stories of Dejah, Moussa, Sandor, Hong and Jonny. Their journeys began with a decision to build the better future they wanted to see. The same is true for you. What matters isn’t the size of the step you take; what matters is that you take it.",No,No,87222.0,11045.0,2136.0
3,29 Dec 2018,16:15,Barack Obama,@BarackObama,"Leaders like Jonny Boucher, a Chicago native who, after losing too many friends and family to suicide, started a coffee shop to offer emotional support and guidance to those who might be in need of a little more than a strong cup of coffee to get through their day.",Yes,No,105996.0,18273.0,958.0
4,29 Dec 2018,16:15,Barack Obama,@BarackObama,"Leaders like Hong Hoang, who mobilized a youth-led movement to create a greener world after becoming the first Vietnamese person to visit Antarctica. ",No,No,26705.0,3561.0,167.0
5,29 Dec 2018,16:15,Barack Obama,@BarackObama,"Leaders like Moussa Kondo and Sandor Lederer, who are each doing their part to fight corruption in their native countries of Mali and Hungary. Two people separated by continents but united in their pursuit of a more just, transparent society.",No,No,25261.0,3637.0,169.0
6,29 Dec 2018,16:15,Barack Obama,@BarackObama,"Leaders like Dejah Powell, who started an organization to bring health and wellness resources to communities on the South Side of Chicago, expanding food access and providing people the space and time to take care of themselves.",Yes,No,33261.0,4992.0,285.0
7,29 Dec 2018,16:15,Barack Obama,@BarackObama,"As the year winds down and we look toward 2019, I’m asking you to make a commitment: find something you want to change in your community and take the first step toward changing it. If you need some inspiration, take a look at some of the young leaders who inspired me this year.",No,No,385537.0,84767.0,8348.0
8,28 Dec 2018,14:34,Barack Obama,@BarackObama,"As 2018 draws to a close, I’m continuing the tradition of sharing my year-end lists. It gives me a moment to reflect on the year through the books, movies, and music that I found most thought-provoking, inspiring, or just plain loved. I hope you enjoy it: https://www.facebook.com/barackobama/posts/10156393283416749 …",No,No,286741.0,48925.0,9814.0
9,25 Dec 2018,14:14,Barack Obama,@BarackObama,Enjoy the holiday season with the ones you love. Michelle and I wish you a very Merry Christmas!,Yes,No,935398.0,94558.0,24659.0
10,20 Dec 2018,20:55,Barack Obama,@BarackObama,"There’s no better time than the holidays to give back to your community. Yesterday I got to do just that at @ChildrensHealth. As we celebrate the season and look forward to 2019, let’s recommit to doing our part to build a world that is a little more generous, tolerant, and kind.",No,Yes,204748.0,33786.0,8371.0
11,19 Dec 2018,21:48,Barack Obama,@BarackObama,"Merry Christmas and happy holidays to the extraordinary kids, families, and staff at Children’s National. And thanks for humoring me as your stand-in Santa.",No,Yes,403337.0,67330.0,14344.0
12,15 Dec 2018,21:15,Barack Obama,@BarackObama,Today is the last day of open enrollment. That means it’s the deadline to make sure you and the people you love have health insurance in 2019. So head over to http://HealthCare.gov  to get covered! Here’s what else you need to know today about health care:,Yes,No,79241.0,23954.0,5283.0
13,15 Dec 2018,00:58,Barack Obama,@BarackObama,"Joe is right. Head to http://healthcare.gov  before tomorrow’s deadline. And nice bracelet, by the way.",No,Yes,155915.0,33821.0,3736.0
14,13 Dec 2018,04:15,Barack Obama,@BarackObama,"As Bobby Kennedy taught us, the thing about hope is that it travels through space *and* time, first splashing against the rocks, but eventually breaking down the walls of cruelty and injustice. And if we do our best with the time we’re given, others will take hope in our example.",No,Yes,216393.0,44749.0,7054.0
15,11 Dec 2018,20:31,The Obama Foundation,@ObamaFoundation,"The Cares Family reaches across generational divides to reduce loneliness in the U.K. Hear more from Alex Smith, founder and one of our #ObamaFellows: http://obama.org/fellowship/alex-smith …",Yes,No,8922.0,2077.0,396.0
16,10 Dec 2018,15:40,Barack Obama,@BarackObama,"No jump shots. No ferns. No memes. Not this time. I’m going to give it to you straight: If you need health insurance for 2019, the deadline to get covered is December 15. Go to http://HealthCare.gov  today and pass this on — you just might save a life.",Yes,No,351405.0,139874.0,11887.0
17,08 Dec 2018,14:00,Get America Covered,@GetUSCovered,"Just ONE WEEK LEFT to #GetCovered for 2019. Most folks can find coverage for $75 or less per month.

Head over to http://HealthCare.gov  today and sign up for a plan that’s right for you and your family.",Yes,No,5123.0,2850.0,397.0
18,02 Dec 2018,22:09,Barack Obama,@BarackObama,"Happy Hanukkah! Over these eight nights, we draw inspiration from light that can overpower any darkness, and recommit ourselves to building a brighter future for our families, our communities, and our world. Chag Sameach from the Obama family to yours.",No,No,417016.0,53101.0,8441.0
19,01 Dec 2018,05:36,Barack Obama,@BarackObama,"America has lost a patriot and humble servant in George Herbert Walker Bush. While our hearts are heavy today, they are also filled with gratitude. Our thoughts are with the entire Bush family tonight – and all who were inspired by George and Barbara’s example.",Yes,No,376278.0,69588.0,5776.0
20,21 Nov 2018,18:57,Barack Obama,@BarackObama,"I am grateful for the next generation of leaders -- the young people who are tolerant, creative, idealistic and doing the work to create the world as it should be. Who understand that hope requires action. From the Obama family to yours, Happy Thanksgiving.",No,Yes,245270.0,41494.0,10271.0
21,21 Nov 2018,01:37,Barack Obama,@BarackObama,"Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me crash today. Happy Thanksgiving, everybody!",No,Yes,141115.0,20952.0,3927.0
22,19 Nov 2018,21:54,The Obama Foundation,@ObamaFoundation,The Obama Presidential Center represents a historic opportunity to build a world-class museum and public gathering space on Chicago’s South Side. Take a look at the future campus:,Yes,No,19496.0,3323.0,1090.0
23,18 Nov 2018,23:32,Barack Obama,@BarackObama,"When someone shares their story, we see the world through their eyes. I’m looking forward to hearing a few from leaders around the world and sharing my own at the @ObamaFoundation Summit in Chicago. Tune in at http://Obama.org .",Yes,No,93026.0,14838.0,2472.0
24,15 Nov 2018,16:43,Barack Obama,@BarackObama,"Our future depends on all our young people, including our boys and young men of color, being able to achieve their dreams. Today, I’m proud to share @MBK_Alliance’s first investments in communities devoted to this mission. Get inspired:",No,No,93125.0,16937.0,2698.0
25,13 Nov 2018,18:37,Barack Obama,@BarackObama,"Of course, @MichelleObama’s my wife, so I’m a little biased here. But she also happens to be brilliant, funny, wise – one of a kind. This book tells her quintessentially American story. I love it because it faithfully reflects the woman I have loved for so long.",Yes,No,543354.0,66997.0,9659.0
26,12 Nov 2018,03:20,Barack Obama,@BarackObama,"Michelle and I are heartbroken for everybody who’s lost so much in California, and grateful for the heroism of the firefighters who’ve been risking their lives around the clock to save others. Please do what you can to help our fellow Americans in need:",No,No,296291.0,56314.0,6418.0
27,11 Nov 2018,16:14,Barack Obama,@BarackObama,"To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your service and sacrifice. But all of us can do our best to live up to the American values of service, responsibility, generosity, and citizenship that you helped defend.",No,No,681282.0,115950.0,11267.0
28,07 Nov 2018,16:13,Barack Obama,@BarackObama,"Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday. The change we need won’t come from one election alone – but it is a start. Last night, voters across the country started it.",Yes,No,329770.0,53067.0,6680.0
29,06 Nov 2018,16:26,Barack Obama,@BarackObama,"Today is the day. Today, it’s your turn to raise your voice to change the course of this country for the better. So make it count. Get out there and vote. Go to http://IWillVote.com  or call 833-336-VOTE to confirm where you can vote and check voting hours.",Yes,No,176192.0,40120.0,5240.0
30,05 Nov 2018,18:46,Barack Obama,@BarackObama,"If you take that power and vote, something powerful happens. Change happens. Hope happens. And with each new step we take in the direction of fairness, and justice, and equality, and opportunity, hope spreads. Go vote!",No,No,71735.0,19156.0,2421.0
31,05 Nov 2018,18:46,Barack Obama,@BarackObama,"When you vote, you have the power to make it easier for a student to afford college, and harder for a disturbed person to shoot up a classroom. When you vote, you have the power to make sure a family keeps its health insurance.",No,No,105502.0,26757.0,1133.0
